暑热,酷暑
遭逢,挨
脸盘儿,满脸
馥郁,醇芳
崔嵬,巍
乌黑,黝黑
寡,半
拯,救难
少见,千载一时
缠绕,围
抓,捉
环境,条件
浮浅,浮泛
一问三不知,蚩
遮藏,荫
老财,百万富翁
岁,稔
蕃息,增殖
红灿灿,灯火辉煌
枝杈,枝丫
飘拂,飘落
如,使
偏心,劫富济贫
出口,讲讲
阻碍,拦
碟,碟子
转,别
高迈,鹤发鸡皮
一生,平生
贡品,贡
悠远,经久不衰
箬,霜叶
澜,惊涛骇浪
饮誉,名优特
鹅毛大雪,飞雪
箪食瓢饮,粗茶淡饭
狼藉,紊
人心向背,鹦鹉热
除开,除外
锯,劈开
出钱,掏钱
金星,启明
紧要,主要
无耻,丢人
仍旧,依然如故
高射,喷涂
乌,缁
就地,当庭
能人,硬手
苦痛,睹物伤情
往昔,旧时
绿茵茵,滴翠
恣肆,明火执仗
不朽,彪炳春秋
鲜明,昭昭
依傍,倚仗
人事,赠物
说话,出言
自纠,自查自纠
工商行,工行
猜测,怀疑
抠,挖掘
愀然,厉声
拨动,拨
拼制,三合一
尽快,快
姑且,暂且
有血有肉,娓娓动听
其时,彼时
注目,盯住
胆怯,缩头
防除,屏除
合口味,专业对口
惨白,刷白
尽心,硬着头皮
蔚为壮观,壮伟
安放,留置
赖,矢口抵赖
友爱,自己
无尽无休,不绝于耳
呼,哈
半途,中道
蘑菇,绕
停息,告一段落
幺,单科
缕,细大不捐
浮现,显出
窠,窝窝
头面,出头露面
守,近
突,出人意料
劳作,坐班
火急,火烧眉毛
没落,阑珊
韶秀,俏
纵令,便
吃,零吃
缺欠,先天不足
挨近,濒于
靠拢,挨着
热和,促膝
头脑,端绪
独身,孤身一人
户均,均一
耻辱,屈辱
延迟,缓期
歌功颂德,众口交赞
援助,有难必帮
帮衬,扶持
领略,晓
即若,即
千山万水,老远
重,沉甸甸
天香国色,阳刚之美
一把手,熟练工
水深火热,哀鸿遍野
托福,洪福齐天
纤巧,精
目不暇接,星罗棋布
诡异,好奇
考中,中式
审定,检定
载歌载舞,热闹非凡
末梢,最后
回,趟
直爽,爽快
好为人师,大模大样
僧多粥少,相差
风度,气度
第三世界,第三国际
皓首穷经,忙乎
殒命,撒手人寰
自以为是,煞有介事
散,一鳞半爪
减退,低落
劳乏,瘁
留余地,留底
父,爹爹
交,交给
勇于,剽悍
颂,许
赎,采办
适合,恰到好处
合璧,同苦共乐
居无定所,东跑西颠
现眼,闹笑话
不过,可
瞪,瞠目
不屑一顾,贬抑
吃紧,剑拔弩张
事必躬亲,一丝不苟
殷红,红光光
臭,碍手碍脚
抠,打井
立即,及时
形象,相
空,苍穹
河,延河水
霜,白皑皑
囚徒,释放者
莲藕,荷藕
累累,勤
不在话下,一钱不值
灵活,敏感
特异,一流
月息,月利率
泥塑木雕,张口结舌
天才,天分
高大,庞
全面,一应俱全
砌,陛
捣乱,无所不为
藐视,藐
截然,一点一滴
缴枪,虏获
合璧,互联
手忙脚乱,无所适从
陈规,陈规陋习
摇摆,悠荡
职责,任务
尔,乃
脉脉传情,暗送秋波
投射,空投
昼,青天白日
限量,范围
上流,上乘
聘请,延请
气性,脾性
置,放置
祛,禳
贩卖,售卖
不可一世,人莫予毒
常见,周遍
依,随
进化,上扬
败,满盘皆输
倒卖,倒腾
人世,尘
熟视无睹,视而不见
鼓足干劲,开足马力
恐惧,失色
不甘示弱,产业革命
幽婉,意犹未尽
抵,偿
尽善尽美,十全十美
敦请,特邀
丰美,晟
外貌,原样
优,交口称誉
周至,健全
坚固,牢不可破
举鼎绝膑,独木难支
踟蹰,支支吾吾
得计,功成名就
其后,自此
优异,十全十美
内乱,内讧
抗毒血清,抗菌血清
光宗耀祖,增光添彩
啥子,哪门子
应和,附和
勤苦,吃苦耐劳
雪片,玉龙
衣不蔽体,饥寒交迫
闹,喧嚷
要好,团结
长年,龟鹤延年
泼妇,悍妇
专家,学家
放任自流,听之任之
驾临,翩然而至
溘然长逝,死去
师心自用,讳疾忌医
急风暴雨,一往无前
指名,指定
杯水车薪,行不通
霜,末儿
棘手,大海捞针
翅,外翼
开阔,一望无际
中,里
出动,进军
原因,由头
完成,完
顺手,平平当当
破,败
希有,希世
明智,料事如神
向明,昕
闻人,风云人物
取消,注销
非,弗
争斗,揪斗
串通一气,同流合污
一文不值,太仓一粟
重重,良多
特异,超绝
压倒,过
坝子,坝
蒸蒸日上,千花竞秀
迢迢,天南海北
商兑,商
巨大,光辉
